iter	Passed	Remaining
480	635	686
481	636	684
482	637	682
483	638	681
484	639	679
485	640	677
486	641	676
487	642	674
488	644	673
489	645	671
490	646	670
491	647	668
492	648	667
493	649	665
494	650	663
495	651	662
496	652	660
497	654	659
498	655	657
499	656	656
500	657	654
501	658	653
502	659	651
503	661	650
504	662	649
505	663	647
506	664	646
507	665	644
508	666	643
509	667	641
510	668	640
511	669	638
512	671	637
513	672	635
514	673	634
515	674	632
516	675	631
517	676	629
518	677	628
519	678	626
520	680	625
521	681	623
522	682	622
523	683	621
524	685	620
525	686	618
526	688	617
527	689	616
528	690	614
529	691	613
530	692	611
531	694	610
532	695	609
533	696	607
534	697	606
535	699	605
536	700	603
537	701	602
538	702	601
539	703	599
540	704	598
541	706	596
542	707	595
543	709	594
544	710	592
545	711	591
546	712	590
547	714	589
548	715	588
549	717	586
550	718	585
551	719	584
552	720	582
553	721	581
554	722	579
555	724	578
556	725	576
557	726	575
558	727	574
559	728	572
560	730	571
561	731	570
562	732	568
563	734	567
564	735	566
565	736	564
566	738	563
567	739	562
568	740	560
569	741	559
570	742	558
571	744	556
572	745	555
573	746	554
574	747	552
575	749	551
576	750	550
577	751	548
578	752	547
579	754	546
580	755	544
581	756	543
582	757	541
583	758	540
584	760	539
585	761	537
586	762	536
587	763	535
588	764	533
589	765	532
590	767	531
591	768	529
592	769	528
593	770	526
594	772	525
595	773	524
596	774	523
597	775	521
598	777	520
599	778	519
600	780	517
601	781	516
602	782	515
603	783	513
604	785	512
605	786	511
606	787	510
607	789	508
608	790	507
609	792	506
610	793	505
611	794	503
612	795	502
613	797	501
614	798	499
615	799	498
616	800	497
617	802	495
618	803	494
619	804	493
620	806	492
621	807	490
622	808	489
623	809	488
624	811	486
625	812	485
626	813	483
627	814	482
628	816	481
629	817	480
630	819	478
631	820	477
632	821	476
633	822	475
634	824	473
635	825	472
636	827	471
637	828	470
638	829	468
639	831	467
640	832	466
641	833	464
642	835	463
643	836	462
644	837	461
645	839	459
646	840	458
647	841	457
648	842	455
649	844	454
650	845	453
651	846	452
652	848	450
653	849	449
654	851	448
655	852	446
656	853	445
657	855	444
658	856	443
659	857	441
660	858	440
661	860	439
662	861	437
663	862	436
664	864	435
665	865	433
666	866	432
667	867	431
668	869	430
669	870	428
670	871	427
671	872	426
672	874	424
673	875	423
674	876	422
675	877	420
676	879	419
677	880	418
678	881	416
679	883	415
680	884	414
681	885	413
682	887	411
683	888	410
684	889	409
685	890	407
686	892	406
687	893	405
688	894	403
689	895	402
690	897	401
691	898	399
692	899	398
693	901	397
694	902	396
695	904	394
696	905	393
697	906	392
698	907	390
699	909	389
700	910	388
701	912	387
702	913	385
703	914	384
704	916	383
705	917	382
706	919	381
707	921	379
708	922	378
709	923	377
710	925	376
711	926	374
712	928	373
713	929	372
714	931	371
715	932	370
716	934	368
717	935	367
718	936	366
719	938	364
720	939	363
721	940	362
722	941	360
723	943	359
724	944	358
725	946	357
726	947	355
727	948	354
728	949	353
729	951	351
730	952	350
731	953	349
732	955	347
733	956	346
734	957	345
735	958	343
736	960	342
737	961	341
738	963	340
739	964	338
740	965	337
741	967	336
742	968	334
743	969	333
744	970	332
745	972	330
746	973	329
747	974	328
748	976	327
749	977	325
750	978	324
751	979	323
752	981	321
753	982	320
754	983	319
755	984	317
756	986	316
757	987	315
758	988	313
759	990	312
760	991	311
761	992	310
762	994	308
763	995	307
764	996	306
765	997	304
766	998	303
767	1000	302
768	1001	300
769	1003	299
770	1004	298
771	1006	297
772	1007	295
773	1008	294
774	1009	293
775	1010	291
776	1011	290
777	1013	289
778	1014	287
779	1015	286
780	1016	285
781	1018	283
782	1019	282
783	1020	281
784	1021	279
785	1022	278
786	1023	277
787	1024	275
788	1026	274
789	1027	273
790	1028	271
791	1029	270
792	1030	269
793	1031	267
794	1033	266
795	1034	265
796	1035	263
797	1036	262
798	1037	261
799	1038	259
800	1040	258
801	1041	257
802	1042	255
803	1043	254
804	1044	253
805	1046	251
806	1047	250
807	1048	249
808	1049	247
809	1050	246
810	1051	245
811	1052	243
812	1053	242
813	1055	241
814	1056	239
815	1057	238
816	1058	237
817	1059	235
818	1060	234
819	1061	233
820	1063	231
821	1064	230
822	1065	229
823	1066	227
824	1067	226
825	1068	225
826	1070	223
827	1071	222
828	1072	221
829	1073	219
830	1075	218
831	1076	217
832	1077	215
833	1078	214
834	1079	213
835	1081	212
836	1082	210
837	1083	209
838	1084	208
839	1085	206
840	1086	205
841	1087	204
842	1088	202
843	1089	201
844	1090	200
845	1091	198
846	1092	197
847	1093	196
848	1095	194
849	1096	193
850	1097	192
851	1098	190
852	1099	189
853	1100	188
854	1101	186
855	1103	185
856	1104	184
857	1105	182
858	1106	181
859	1107	180
860	1108	178
861	1109	177
862	1110	176
863	1111	174
864	1112	173
865	1113	172
866	1114	171
867	1115	169
868	1116	168
869	1118	167
870	1119	165
871	1120	164
872	1121	163
873	1122	161
874	1123	160
875	1124	159
876	1125	157
877	1126	156
878	1127	155
879	1128	153
880	1129	152
881	1130	151
882	1131	149
883	1132	148
884	1133	147
885	1134	146
886	1136	144
887	1137	143
888	1138	142
889	1139	140
890	1140	139
891	1141	138
892	1142	136
893	1143	135
894	1144	134
895	1145	132
896	1146	131
897	1147	130
898	1149	129
899	1150	127
900	1151	126
901	1152	125
902	1154	123
903	1155	122
904	1156	121
905	1157	120
906	1158	118
907	1159	117
908	1160	116
909	1161	114
910	1162	113
911	1163	112
912	1164	110
913	1165	109
914	1166	108
915	1168	107
916	1169	105
917	1170	104
918	1171	103
919	1172	101
920	1173	100
921	1175	99
922	1176	98
923	1177	96
924	1178	95
925	1179	94
926	1180	92
927	1181	91
928	1183	90
929	1184	89
930	1185	87
931	1187	86
932	1188	85
933	1189	84
934	1190	82
935	1191	81
936	1192	80
937	1193	78
938	1194	77
939	1195	76
940	1196	75
941	1198	73
942	1199	72
943	1200	71
944	1201	69
945	1202	68
946	1203	67
947	1204	66
948	1205	64
949	1206	63
950	1207	62
951	1208	60
952	1209	59
953	1211	58
954	1212	57
955	1213	55
956	1214	54
957	1216	53
958	1217	52
959	1218	50
960	1219	49
961	1220	48
962	1221	46
963	1222	45
964	1223	44
965	1224	43
966	1225	41
967	1226	40
968	1227	39
969	1229	38
970	1230	36
971	1231	35
972	1232	34
973	1233	32
974	1234	31
975	1235	30
976	1237	29
977	1238	27
978	1239	26
979	1240	25
980	1242	24
981	1243	22
982	1244	21
983	1245	20
984	1246	18
985	1247	17
986	1249	16
987	1251	15
988	1252	13
989	1253	12
990	1254	11
991	1255	10
992	1256	8
993	1258	7
994	1259	6
995	1260	5
996	1261	3
997	1262	2
998	1263	1
999	1264	0
